California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 90504,"32,102","15,886","16,216",40.3,38.9,41.7,2.76,3.25,"1,572","7,054","23,731","8,319","6,239","4,575",50.5%,22.0%,
ZCTA5 90505,"36,678","17,684","18,994",43,41.9,44,2.55,3.09,"1,787","8,265","27,248","10,533","8,050","6,082",51.8%,22.5%,
ZCTA5 90506,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 90601,"31,974","15,312","16,662",36.6,35.7,37.5,2.89,3.4,"2,060","7,780","22,941","7,660","5,596","3,928",52.1%,24.3%,
ZCTA5 90602,"25,777","12,720","13,057",30.9,30,32,3.09,3.62,"1,994","6,912","17,063","4,546","3,239","2,281",50.7%,26.8%,
ZCTA5 90603,"20,063","9,694","10,369",39.4,38.1,40.7,2.93,3.36,"1,132","4,737","14,373","5,327","4,015","3,014",51.7%,23.6%,
ZCTA5 90604,"39,407","19,270","20,137",34.1,32.9,35.3,3.29,3.66,"2,713","10,455","27,010","7,888","5,784","4,153",51.1%,26.5%,
ZCTA5 90605,"40,331","20,033","20,298",32.6,31.4,33.8,3.81,4.06,"2,765","11,515","26,672","7,544","5,374","3,712",50.3%,28.6%,
ZCTA5 90606,"32,396","15,936","16,460",33.5,32.1,34.8,3.72,4.04,"2,279","8,837","22,007","6,766","4,982","3,587",50.8%,27.3%,
ZCTA5 90620,"45,113","22,241","22,872",37.9,36,39.6,3.37,3.65,"2,519","10,661","32,244","10,746","7,849","5,641",50.7%,23.6%,
ZCTA5 90621,"35,153","17,377","17,776",32.1,31.2,33.2,3.38,3.7,"2,696","9,638","23,856","6,090","4,263","2,914",50.6%,27.4%,
ZCTA5 90623,"15,554","7,516","8,038",41.2,39.8,42.5,3.06,3.37,751,"3,408","11,476","4,440","3,461","2,493",51.7%,21.9%,
ZCTA5 90630,"47,993","23,204","24,789",40,38.3,41.3,3.02,3.35,"2,380","11,411","34,346","11,820","8,703","6,223",51.7%,23.8%,
ZCTA5 90631,"67,619","33,320","34,299",34.8,33.5,36.2,3.13,3.54,"4,641","17,520","47,070","14,785","11,020","7,927",50.7%,25.9%,
ZCTA5 90638,"49,012","23,520","25,492",37.9,36.5,39.1,3.11,3.49,"2,509","10,348","35,044","12,777","9,862","7,449",52.0%,21.1%,
ZCTA5 90640,"62,549","30,189","32,360",34.7,32.9,36.5,3.27,3.67,"4,299","16,148","43,503","14,670","11,381","8,524",51.7%,25.8%,
ZCTA5 90650,"105,549","52,364","53,185",32.5,31,34.1,3.83,4.1,"7,416","29,164","70,891","20,427","14,807","10,431",50.4%,27.6%,
ZCTA5 90660,"62,928","30,738","32,190",34,32.6,35.3,3.77,4.1,"4,260","16,784","42,909","13,732","10,450","7,629",51.2%,26.7%,
ZCTA5 90670,"14,866","7,163","7,703",36.2,34,38.2,3.34,3.82,835,"3,806","10,309","3,676","2,838","2,100",51.8%,25.6%,
ZCTA5 90680,"29,945","14,811","15,134",33.5,32,34.8,3.48,3.91,"2,328","8,144","20,436","5,929","4,431","3,156",50.5%,27.2%,
ZCTA5 90701,"16,591","8,227","8,364",38.2,36.9,39.5,3.51,3.81,885,"3,740","12,113","4,197","3,094","2,262",50.4%,22.5%,
ZCTA5 90703,"49,399","23,785","25,614",43.9,42.2,45.2,3.16,3.4,"1,971","10,119","37,495","16,346","12,602","8,684",51.9%,20.5%,
ZCTA5 90704,"4,090","2,101","1,989",37.2,36.4,37.9,2.50,3.21,265,996,"2,927",975,649,413,48.6%,24.4%,
ZCTA5 90706,"76,615","37,203","39,412",31.9,30.8,33.1,3.21,3.67,"5,841","21,749","51,034","13,863","9,820","6,617",51.4%,28.4%,
ZCTA5 90710,"25,457","12,291","13,166",36.7,35.1,38,2.91,3.39,"1,753","6,290","18,106","6,165","4,647","3,318",51.7%,24.7%,
ZCTA5 90712,"31,499","15,277","16,222",38.4,36.9,39.6,2.91,3.35,"1,929","7,514","22,642","7,476","5,359","3,801",51.5%,23.9%,
ZCTA5 90713,"27,925","13,574","14,351",39,37.8,40,2.95,3.32,"1,626","6,720","20,039","6,649","4,751","3,266",51.4%,24.1%,
ZCTA5 90715,"20,388","9,935","10,453",33.9,32.5,35.3,3.33,3.67,"1,302","5,242","14,150","3,971","2,763","1,873",51.3%,25.7%,
ZCTA5 90716,"14,184","7,078","7,106",28.3,26.9,30,4.03,4.34,"1,282","4,575","8,812","2,204","1,610","1,085",50.1%,32.3%,
ZCTA5 90717,"21,318","10,317","11,001",39.5,37.9,40.7,2.48,3.12,"1,333","4,603","15,939","5,314","3,829","2,648",51.6%,21.6%,
ZCTA5 90720,"21,751","10,423","11,328",41.7,40.3,42.9,2.74,3.14,940,"5,275","15,569","6,016","4,523","3,357",52.1%,24.3%,
ZCTA5 90723,"54,099","26,315","27,784",28.6,27.7,29.4,3.87,4.22,"4,685","17,630","33,528","7,516","5,223","3,416",51.4%,32.6%,
ZCTA5 90731,"59,662","29,951","29,711",35.6,35.1,36.2,2.62,3.3,"4,213","14,698","42,366","12,732","9,167","6,170",49.8%,24.6%,
ZCTA5 90732,"21,115","9,843","11,272",45,42.8,46.8,2.38,2.98,"1,156","4,083","16,349","7,331","5,735","4,341",53.4%,19.3%,
ZCTA5 90740,"23,729","10,423","13,306",57.5,53.7,60.6,1.83,2.65,751,"3,073","20,202","12,692","11,054","9,178",56.1%,13.0%,
ZCTA5 90742,831,454,377,45.8,44.8,47.7,1.87,2.69,21,94,709,284,208,121,45.4%,11.3%,
ZCTA5 90743,456,238,218,45.2,45.1,45.3,2.44,2.87,21,87,356,149,111,71,47.8%,19.1%,
ZCTA5 90744,"53,815","27,298","26,517",28.7,28.2,29.3,3.83,4.16,"4,787","17,211","33,616","8,065","5,658","3,783",49.3%,32.0%,
ZCTA5 90745,"57,251","27,754","29,497",37.1,35.4,38.6,3.73,4.05,"3,382","14,011","40,544","14,347","10,581","7,533",51.5%,24.5%,
ZCTA5 90746,"25,990","11,944","14,046",40.7,38.5,42.4,3.14,3.52,"1,270","5,612","18,918","7,577","5,936","4,329",54.0%,21.6%,
ZCTA5 90747,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 90755,"11,074","5,462","5,612",36.1,35.8,36.4,2.64,3.33,828,"2,643","8,027","2,246","1,541",916,50.7%,23.9%,
ZCTA5 90802,"39,347","20,387","18,960",34.7,35.7,33.6,1.93,2.98,"2,127","6,485","31,606","7,226","5,117","3,354",48.2%,16.5%,
ZCTA5 90803,"32,031","15,609","16,422",42.7,42.9,42.6,1.84,2.59,"1,167","3,745","27,590","9,800","7,447","4,953",51.3%,11.7%,
ZCTA5 90804,"40,311","19,686","20,625",29.8,29.7,30,2.70,3.46,"2,935","9,863","28,147","5,579","3,704","2,366",51.2%,24.5%,
ZCTA5 90805,"93,524","45,229","48,295",29,27.9,30.1,3.56,4,"8,014","29,354","59,050","14,051","9,553","6,232",51.6%,31.4%,
ZCTA5 90806,"42,399","20,717","21,682",30.3,29.1,31.5,3.44,3.93,"3,532","12,689","27,395","7,002","4,860","3,235",51.1%,29.9%,
ZCTA5 90807,"31,481","15,153","16,328",39.7,38.7,40.7,2.49,3.17,"1,913","6,634","23,750","8,191","5,911","4,050",51.9%,21.1%,
ZCTA5 90808,"38,232","18,408","19,824",41.6,40.5,42.7,2.69,3.14,"2,105","8,529","28,286","10,485","7,612","5,374",51.9%,22.3%,
ZCTA5 90810,"36,735","18,067","18,668",31.8,30.6,32.9,3.90,4.27,"2,729","10,613","24,203","7,367","5,306","3,770",50.8%,28.9%,
ZCTA5 90813,"58,911","29,425","29,486",27.3,27,27.5,3.50,4.06,"5,617","19,268","36,126","7,274","4,956","3,234",50.1%,32.7%,
ZCTA5 90814,"19,131","9,356","9,775",37.2,37,37.3,2.06,2.83,959,"2,988","15,582","4,012","2,850","1,871",51.1%,15.6%,
ZCTA5 90815,"39,733","19,124","20,609",37.9,36.8,38.8,2.53,3.04,"2,049","7,551","28,829","9,961","7,495","5,402",51.9%,19.0%,
ZCTA5 90822,117,109,8,63.9,64.8,47,4.50,4.5,0,4,112,91,75,55,6.8%,3.4%,
